#   WAVELENGTH        FLUX
#------------- -----------
     3500.000      1.6266
     3500.100      1.9063
     3500.200      2.3888
     3500.300      2.5000
     3500.400      2.3283
     3500.500      2.3387
     3500.600      2.5827
     3500.700      3.0280
     3500.800      3.3558
     3500.900      3.3967
     3501.000      3.1690
     3501.100      2.4530
     3501.200      1.8063
     3501.300      1.5642
     3501.400      1.5094
     3501.500      1.4745
     3501.600      1.3835
     3501.700      1.3711
     3501.800      1.4030
     3501.900      1.3972
     3502.000      1.4083
     3502.100      1.4383
     3502.200      1.4619
     3502.300      1.4397
     3502.400      1.4387
     3502.500      1.4495
     3502.600      1.5409
     3502.700      1.6438
     3502.800      1.5757
     3502.900      1.4858
     3503.000      1.4599
     3503.100      1.4978
     3503.200      1.8102
     3503.300      2.2656
     3503.400      2.3174
     3503.500      2.0288
     3503.600      2.0961
     3503.700      2.6074
     3503.800      2.7809
     3503.900      2.3680
     3504.000      1.9694
     3504.100      1.7701
     3504.200      1.5920
     3504.300      1.3867
     3504.400      1.3276
     3504.500      1.4792
     3504.600      1.7291
     3504.700      1.7999
     3504.800      1.6720
     3504.900      1.6310
     3505.000      1.7681
     3505.100      2.1121
     3505.200      2.6133
     3505.300      2.9042
     3505.400      2.8514
     3505.500      2.6730
     3505.600      2.3687
     3505.700      2.2259
     3505.800      2.2860
     3505.900      2.0881
     3506.000      1.8490
     3506.100      1.8874
     3506.200      2.0416
     3506.300      2.0836
     3506.400      1.9166
     3506.500      1.9030
     3506.600      2.3438
     3506.700      2.7622
     3506.800      2.5321
     3506.900      2.0349
     3507.000      1.7802
     3507.100      1.6953
     3507.200      1.6234
     3507.300      1.5029
     3507.400      1.4573
     3507.500      1.5383
     3507.600      1.6807
     3507.700      1.7601
     3507.800      1.6455
     3507.900      1.5226
     3508.000      1.6231
     3508.100      1.7001
     3508.200      1.6361
     3508.300      1.5201
     3508.400      1.3462
     3508.500      1.2993
     3508.600      1.5211
     3508.700      1.8558
     3508.800      2.0089
     3508.900      1.8238
     3509.000      1.6097
     3509.100      1.5864
     3509.200      1.6407
     3509.300      1.7876
     3509.400      1.9459
     3509.500      1.8980
     3509.600      1.9313
     3509.700      2.3517
     3509.800      2.9282
     3509.900      3.1975
     3510.000      2.8491
     3510.100      2.2237
     3510.200      1.8884
     3510.300      1.9848
     3510.400      2.1089
     3510.500      2.0847
     3510.600      2.1964
     3510.700      2.4937
     3510.800      2.7878
     3510.900      2.7772
     3511.000      2.4410
     3511.100      2.1055
     3511.200      2.0314
     3511.300      2.3065
     3511.400      2.5538
     3511.500      2.5009
     3511.600      2.2401
     3511.700      1.8184
     3511.800      1.4944
     3511.900      1.5601
